x, y, yaw
10.7626,3.52194,0.00615007
10.6697,3.54099,0.00589761
10.5767,3.56003,0.00564515
10.4837,3.57908,0.00539268
10.3907,3.59813,0.00514022
10.2977,3.61717,0.00488775
10.2047,3.63622,0.00463529
10.1117,3.65527,0.00438283
10.0187,3.67431,0.00413036
9.92834,3.68254,0.00395909
9.83798,3.69078,0.00378782
9.74762,3.69901,0.00361655
9.65726,3.70724,0.00344528
9.5669,3.71547,0.00327401
9.47654,3.7237,0.00310274
9.38618,3.73194,0.00293146
9.29583,3.74017,0.00276019
9.20547,3.7484,0.00258892
9.11511,3.75663,0.00241765
9.02475,3.76486,0.00224638
8.93592,3.76791,0.00202378
8.84709,3.77096,0.00180119
8.75826,3.77401,0.00157859
8.66944,3.77706,0.00135599
8.58061,3.78012,0.0011334
8.49178,3.78317,0.000910802
8.40295,3.78622,0.000688206
8.31412,3.78927,0.00046561
8.2253,3.79232,0.000243014
8.13647,3.79537,2.04173e-05
8.04764,3.79842,-0.000202179
7.9547,3.81401,0.000258966
7.86177,3.82959,0.000720111
7.76883,3.84518,0.00118126
7.67589,3.86077,0.0016424
7.58295,3.87636,0.00210355
7.49001,3.89194,0.00256469
7.39707,3.90753,0.00302584
7.30414,3.92312,0.00348698
7.2112,3.93871,0.00394812
7.11826,3.95429,0.00440927
7.02532,3.96988,0.00487041
6.93282,3.96254,0.00487666
6.84031,3.9552,0.0048829
6.74781,3.94786,0.00488914
6.6553,3.94052,0.00489538
6.56279,3.93318,0.00490163
6.47029,3.92583,0.00490787
6.37778,3.91849,0.00491411
6.28528,3.91115,0.00492035
6.19277,3.90381,0.00492659
6.10027,3.89647,0.00493284
6.00776,3.88913,0.00493908
5.91873,3.89694,0.00459363
5.82969,3.90475,0.00424819
5.74066,3.91256,0.00390274
5.65162,3.92037,0.00355729
5.56259,3.92818,0.00321185
5.47356,3.93599,0.0028664
5.38452,3.9438,0.00252095
5.29549,3.95161,0.0021755
5.20645,3.95942,0.00183006
5.11742,3.96723,0.00148461
5.02839,3.97504,0.00113916
4.93648,3.98255,0.00117909
4.84457,3.99007,0.00121901
4.75267,3.99759,0.00125894
4.66076,4.00511,0.00129886
4.56885,4.01263,0.00133879
4.47695,4.02015,0.00137871
4.38504,4.02767,0.00141863
4.29313,4.03518,0.00145856
4.20123,4.0427,0.00149848
4.10932,4.05022,0.00153841
4.01742,4.05774,0.00157833
3.92592,4.06176,0.00172407
3.83443,4.06579,0.00186981
3.74294,4.06981,0.00201555
3.65144,4.07384,0.00216129
3.55995,4.07786,0.00230702
3.46846,4.08188,0.00245276
3.37697,4.08591,0.0025985
3.28547,4.08993,0.00274424
3.19398,4.09395,0.00288998
3.10249,4.09798,0.00303572
3.01099,4.102,0.00318146
2.92034,4.10597,0.00277398
2.82969,4.10993,0.0023665
2.73904,4.1139,0.00195902
2.64838,4.11787,0.00155154
2.55773,4.12183,0.00114406
2.46708,4.1258,0.000736583
2.37643,4.12977,0.000329104
2.28578,4.13373,-7.83747e-05
2.19512,4.1377,-0.000485854
2.10447,4.14166,-0.000893333
2.01382,4.14563,-0.00130081
1.92221,4.14868,-0.00130766
1.8306,4.15174,-0.00131451
1.739,4.15479,-0.00132136
1.64739,4.15784,-0.00132821
1.55578,4.1609,-0.00133506
1.46418,4.16395,-0.00134191
1.37257,4.16701,-0.00134876
1.28096,4.17006,-0.0013556
1.18936,4.17311,-0.00136245
1.09775,4.17617,-0.0013693
1.00614,4.17922,-0.00137615
0.918278,4.18708,-0.00111129
0.830414,4.19495,-0.000846429
0.74255,4.20281,-0.000581568
0.654685,4.21068,-0.000316707
0.566821,4.21854,-5.18452e-05
0.478957,4.22641,0.000213016
0.391092,4.23427,0.000477878
0.303228,4.24214,0.000742739
0.215364,4.25,0.0010076
0.127499,4.25787,0.00127246
0.0396349,4.26573,0.00153732
-0.04994,4.27366,0.00120761
-0.139515,4.28159,0.000877901
-0.22909,4.28952,0.000548189
-0.318665,4.29745,0.000218478
-0.40824,4.30538,-0.000111233
-0.497815,4.31331,-0.000440944
-0.58739,4.32124,-0.000770656
-0.676965,4.32917,-0.00110037
-0.76654,4.3371,-0.00143008
-0.856115,4.34503,-0.00175979
-0.94569,4.35295,-0.0020895
-1.02361,4.35585,-0.00132223
-1.10153,4.35874,-0.000554952
-1.17945,4.36163,0.000212323
-1.25737,4.36452,0.000979597
-1.33529,4.36741,0.00174687
-1.41321,4.3703,0.00251415
-1.49113,4.3732,0.00328142
-1.56905,4.37609,0.00404869
-1.64697,4.37898,0.00481597
-1.7249,4.38187,0.00558324
-1.80282,4.38476,0.00635052
-1.84362,4.35872,0.00644506
-1.88442,4.33268,0.0065396
-1.92522,4.30664,0.00663415
-1.96601,4.2806,0.00672869
-2.00681,4.25456,0.00682324
-2.04761,4.22852,0.00691778
-2.08841,4.20248,0.00701232
-2.12921,4.17644,0.00710687
-2.17001,4.1504,0.00720141
-2.21081,4.12435,0.00729596
-2.25161,4.09831,0.0073905
-2.28348,4.04847,0.00709703
-2.31534,3.99864,0.00680356
-2.34721,3.9488,0.00651008
-2.37907,3.89896,0.00621661
-2.41093,3.84912,0.00592314
-2.4428,3.79928,0.00562967
-2.47466,3.74944,0.0053362
-2.50653,3.6996,0.00504273
-2.53839,3.64976,0.00474925
-2.57026,3.59992,0.00445578
-2.60212,3.55008,0.00416231
-2.62786,3.46894,0.00393538
-2.65359,3.38779,0.00370845
-2.67932,3.30664,0.00348152
-2.70506,3.22549,0.00325459
-2.73079,3.14434,0.00302766
-2.75653,3.06319,0.00280072
-2.78226,2.98204,0.00257379
-2.808,2.90089,0.00234686
-2.83373,2.81974,0.00211993
-2.85947,2.73859,0.001893
-2.8852,2.65744,0.00166607
-2.89277,2.59283,0.00193076
-2.90034,2.52822,0.00219544
-2.90791,2.46361,0.00246013
-2.91547,2.399,0.00272482
-2.92304,2.33439,0.00298951
-2.93061,2.26978,0.0032542
-2.93817,2.20517,0.00351888
-2.94574,2.14056,0.00378357
-2.95331,2.07595,0.00404826
-2.96088,2.01134,0.00431295
-2.96844,1.94673,0.00457764
-2.97093,1.89083,0.00458895
-2.97341,1.83494,0.00460026
-2.97589,1.77905,0.00461158
-2.97837,1.72316,0.00462289
-2.98085,1.66727,0.00463421
-2.98334,1.61138,0.00464552
-2.98582,1.55548,0.00465684
-2.9883,1.49959,0.00466815
-2.99078,1.4437,0.00467946
-2.99326,1.38781,0.00469078
-2.99574,1.33192,0.00470209
-2.97716,1.25779,0.0043827
-2.95857,1.18367,0.0040633
-2.93998,1.10955,0.00374391
-2.9214,1.03543,0.00342451
-2.90281,0.961305,0.00310512
-2.88422,0.887182,0.00278573
-2.86563,0.81306,0.00246633
-2.84705,0.738937,0.00214694
-2.82846,0.664814,0.00182754
-2.80987,0.590692,0.00150815
-2.79128,0.516569,0.00118876
-2.73812,0.470183,0.00133748
-2.68496,0.423797,0.00148621
-2.6318,0.377411,0.00163494
-2.57863,0.331024,0.00178367
-2.52547,0.284638,0.0019324
-2.47231,0.238252,0.00208113
-2.41915,0.191866,0.00222986
-2.36599,0.145479,0.00237859
-2.31282,0.0990932,0.00252732
-2.25966,0.052707,0.00267605
-2.2065,0.00632071,0.00282478
-2.13693,-0.0211684,0.00272842
-2.06735,-0.0486575,0.00263205
-1.99778,-0.0761466,0.00253569
-1.92821,-0.103636,0.00243933
-1.85863,-0.131125,0.00234296
-1.78906,-0.158614,0.0022466
-1.71949,-0.186103,0.00215023
-1.64992,-0.213592,0.00205387
-1.58034,-0.241081,0.0019575
-1.51077,-0.26857,0.00186114
-1.4412,-0.29606,0.00176477
-1.37413,-0.309521,0.00165744
-1.30707,-0.322983,0.00155011
-1.24,-0.336445,0.00144278
-1.17294,-0.349906,0.00133545
-1.10587,-0.363368,0.00122812
-1.03881,-0.37683,0.00112078
-0.971742,-0.390291,0.00101345
-0.904677,-0.403753,0.000906121
-0.837612,-0.417215,0.000798789
-0.770547,-0.430676,0.000691457
-0.703482,-0.444138,0.000584126
-0.634425,-0.45039,0.000967004
-0.565369,-0.456642,0.00134988
-0.496313,-0.462894,0.00173276
-0.427257,-0.469146,0.00211564
-0.358201,-0.475398,0.00249852
-0.289145,-0.48165,0.0028814
-0.220089,-0.487902,0.00326428
-0.151032,-0.494154,0.00364715
-0.0819763,-0.500406,0.00403003
-0.0129202,-0.506658,0.00441291
0.056136,-0.51291,0.00479579
